MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,LBase_P2P,LBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
70,1,1,200,1.721496582,36.65252686,1.502380371,124.9629974,0.598,3.165,0.46,1,1,0,0,100,0,1,0
71,1,3,500,1.303253174,18.73176575,0.889434814,72.78495789,0.626,3.358,0.738,1,1,0,0,100,0,1,0
72,1,4,200,1.664581299,35.22224426,1.160583496,101.1855316,0.737,2.887,1.374,1,1,0,0,100,0,1,0
73,1,1,200,1.679534912,30.71510315,1.12197876,103.2938385,0.601,3.172,1.86,1,1,0,0,100,0,1,0
74,1,3,500,1.783294678,34.65141296,1.455688477,115.046463,0.815,3.433,0.632,1,1,0,0,100,0,1,0
75,1,4,200,0.273742676,5.371017456,0.123901367,13.70422363,0.6,0.89,1.169,1,1,1,1,100,0,1,0
76,1,1,500,4.042205811,38.87184143,0.36605835,34.77394104,0.293,0.218,1.621,1,1,1,1,100,0,1,0
77,1,3,500,0.096435547,3.24508667,0.726928711,34.00939941,0.405,0.496,1.914,1,1,1,1,100,0,1,0
78,1,4,200,0.621032715,16.14990234,0.637817383,41.85707092,0.042,0.715,1.567,1,1,1,1,100,0,1,0
79,1,1,500,3.468170166,37.64755249,0.389404297,31.99165344,0.763,1.001,1.979,1,1,0,0,100,0,1,0
80,1,3,200,0.881652832,19.59007263,0.705108643,51.55761719,0.173,0.393,1.173,1,1,0,0,100,0,1,0
81,1,4,200,1.090393066,22.03239441,0.886383057,61.08016968,0.502,0.475,1.92,1,1,0,0,100,0,1,0
82,1,1,500,0.63583374,15.00205994,0.47744751,43.69346619,0.387,0.419,1.554,1,1,1,1,100,0,1,0
83,1,3,200,0.88760376,18.18870544,0.615234375,46.28250122,0.54,0.41,1.829,1,1,0,0,100,0,1,0
84,1,4,500,0.929260254,17.7898407,0.731048584,48.53660583,0.4,0.307,1.654,1,1,0,0,100,0,1,0
85,1,1,500,0.815887451,19.6723938,0.682830811,55.14221191,0.345,0.028,1.209,1,1,0,0,100,0,1,0
