MEP,Part_Anon,Stimulus,Timepoint,MEP_P2P,MEP_AUC,SBase_P2P,SBase_AUC,Target_Error,Angular_Error,Twist_Error,Allow_1st_Trial,Allow_Loc_Error,Allow_MEP,ALLOW,Study_Group,Filter_insuff_data,Filter_sig_dif_base,FILTER
67,1,1,200,1.816864014,32.91488647,1.019134521,7.998428345,0.541,2.838,1.081,1,1,0,0,100,0,1,0
68,1,3,500,2.587280273,42.36831665,1.172485352,16.20307922,0.517,2.926,0.965,1,1,0,0,100,0,1,0
69,1,4,500,1.363677979,35.33760071,1.036224365,10.4057312,1.264,2.475,0.984,1,1,0,0,100,0,1,0
70,1,1,200,1.721496582,36.65252686,1.242828369,16.09199524,0.598,3.165,0.46,1,1,0,0,100,0,1,0
71,1,3,500,1.303253174,18.73176575,0.640716553,4.699249268,0.626,3.358,0.738,1,1,0,0,100,0,1,0
72,1,4,200,1.664581299,35.22224426,0.893096924,9.398727417,0.737,2.887,1.374,1,1,0,0,100,0,1,0
73,1,1,200,1.679534912,30.71510315,1.014251709,10.31280518,0.601,3.172,1.86,1,1,0,0,100,0,1,0
74,1,3,500,1.783294678,34.65141296,1.163787842,12.5919342,0.815,3.433,0.632,1,1,0,0,100,0,1,0
75,1,4,200,0.273742676,5.371017456,0.113067627,1.72088623,0.6,0.89,1.169,1,1,1,1,100,0,1,0
76,1,1,500,4.042205811,38.87184143,0.321960449,2.998428345,0.293,0.218,1.621,1,1,1,1,100,0,1,0
77,1,3,500,0.096435547,3.24508667,0.310516357,3.869018555,0.405,0.496,1.914,1,1,1,1,100,0,1,0
78,1,4,200,0.621032715,16.14990234,0.43762207,4.226989746,0.042,0.715,1.567,1,1,1,1,100,0,1,0
79,1,1,500,3.468170166,37.64755249,0.308837891,3.329238892,0.763,1.001,1.979,1,1,0,0,100,0,1,0
80,1,3,200,0.881652832,19.59007263,0.464630127,4.140853882,0.173,0.393,1.173,1,1,0,0,100,0,1,0
81,1,4,200,1.090393066,22.03239441,0.600738525,6.288909912,0.502,0.475,1.92,1,1,0,0,100,0,1,0
82,1,1,500,0.63583374,15.00205994,0.299987793,3.777770996,0.387,0.419,1.554,1,1,1,1,100,0,1,0
83,1,3,200,0.88760376,18.18870544,0.51071167,5.623626709,0.54,0.41,1.829,1,1,0,0,100,0,1,0
84,1,4,500,0.929260254,17.7898407,0.348510742,4.540939331,0.4,0.307,1.654,1,1,0,0,100,0,1,0
85,1,1,500,0.815887451,19.6723938,0.359649658,5.074386597,0.345,0.028,1.209,1,1,0,0,100,0,1,0
86,1,3,200,0.782623291,19.85816956,0.599822998,5.087203979,0.44,0.499,2.075,1,1,0,0,100,0,1,0
87,1,4,500,1.036376953,14.87617493,0.468597412,3.67401123,0.501,1.016,2.692,1,1,0,0,100,0,1,0
88,1,1,200,1.38168335,22.30506897,0.591888428,5.731658936,0.072,0.65,2.089,1,1,0,0,100,0,1,0
89,1,3,200,0.353546143,7.339477539,0.034484863,1.049728394,0.182,0.681,2.2,1,1,0,0,100,0,1,0
90,1,4,500,0.138092041,3.656311035,0.052337646,1.155014038,0.554,0.944,2.326,1,1,0,0,100,0,1,0
